concat,invoice_number,sku,order_number,bol,shortage,damage,return,overage,net_shortage,customer_sign,carrier_sign,subject_to_count,pod_found
9.11E+15,9111356717,328440,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,328438,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,328468,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,328203,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,320109,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,329515,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,328411,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,328466,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,320122,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,320119,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,320880,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,320882,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,326730,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,320749,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111356717,320550,8149892267,6027204494,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,309657,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,302832,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,302830,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,309605,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,309653,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,305209,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,305220,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,305208,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,309643,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,309572,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,305617,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,305487,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,305194,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,305197,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110886675,305945,8149881754,6026474187,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+16,9111763392,4292272,C5632556NJB,6028178190,22,0,0,0,22,Yes,Yes,No,Yes
9.11E+15,9110698862,329515,C5164334GBO,6026025260,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110698862,326895,C5164334GBO,6026025260,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110698862,324909,C5164334GBO,6026025260,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110698862,324911,C5164334GBO,6026025260,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110698862,328468,C5164334GBO,6026025260,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9111896038,515079,4531709469,6028364355,4,0,0,0,4,Yes,Yes,No,Yes
9111896038B2951-96,9111896038,B2951-96,4531709469,6028364355,3,0,0,0,3,Yes,Yes,No,Yes
91119076515514A,9111907651,5514A,4531718946,6028459633,2,0,0,0,2,Yes,Yes,No,Yes
9.11E+15,9111907651,930815,4531718946,6028459633,16,0,0,0,16,Yes,Yes,No,Yes
9.11E+15,9111718678,405671,EAA7,6028159698,11,0,0,0,11,Yes,Yes,No,Yes
9.11E+15,9112040261,256041,4229660992,6028731146,11,0,0,0,11,Yes,Yes,No,Yes
9.11E+15,9111126445,382544,APY9,6026861233,15,0,0,0,15,Yes,Yes,No,Yes
9.11E+15,9112025789,305837,C5736174ROA,6028699505,2,0,0,0,2,Yes,Yes,No,Yes
9.11E+15,9112025789,302830,C5736174ROA,6028699505,3,0,0,0,3,Yes,Yes,No,Yes
9.11E+15,9112025789,309646,C5736174ROA,6028699505,2,0,0,0,2,Yes,Yes,No,Yes
9.11E+15,9112025789,309653,C5736174ROA,6028699505,11,0,0,0,11,Yes,Yes,No,Yes
9.11E+15,9112016966,245111,4531703931,6028638320,5,0,0,0,5,Yes,Yes,No,Yes
9.11E+15,9110655761,306546,41702896,6026053803,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+23,9111710562,5.09E+13,1012317091,6028093243,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110688171,320550,55822834,6026131624,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110710207,320122,23975287,6026170800,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110710207,320119,23975287,6026170800,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110710207,320109,23975287,6026170800,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110710207,328203,23975287,6026170800,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110710207,328468,23975287,6026170800,0,0,0,0,0,Yes,Yes,No,Yes
9.11E+15,9110710207,328440,23975287,6026170800,0,0,0,0,0,Yes,Yes,No,Yes
