id,standard_customer,invoice_number,sku,deducted_amount,deducted_qty,deducted_price_per_qty,deduction_date,invoice_location,reason_code,sub_reason_code,deduction_reason,backup_status,
,AWG,9032208945,-,108.67,1,108.67,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032208957,-,57.98,1,57.98,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032209203,-,277.4,1,277.4,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032209233,-,80.07,1,80.07,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032209233,-,80.07,1,80.07,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,AWG,9032209269,-,180.67,1,180.67,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032209373,-,203.64,1,203.64,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032209404,-,78.53,1,78.53,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
325420,C&S,9032209834,-,252.31,1,252.31,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
624066,Kroger,9032213010,-,191.74,1,191.74,3/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
624072,Kroger,9032215071,-,195.04,1,195.04,3/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
VEN0251365,AWG,9032216068,-,108.11,1,108.11,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032216268,-,143.31,1,143.31,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032216651,-,51.51,1,51.51,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032216651,-,51.51,1,51.51,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032216656,-,96.57,1,96.57,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032216656,-,96.57,1,96.57,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032216661,-,84.86,1,84.86,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032216661,-,84.86,1,84.86,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032216662,-,276.8,1,276.8,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032216667,-,66.84,1,66.84,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032216667,-,66.84,1,66.84,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032216668,-,107.66,1,107.66,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032216668,-,107.66,1,107.66,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032216670,-,234.76,1,234.76,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032216671,-,96.81,1,96.81,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032216671,-,96.81,1,96.81,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
625453,Kroger,9032217238,-,156.49,1,156.49,6/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9032217363,-,112.05,1,112.05,3/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032217643,-,104.98,1,104.98,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032217644,-,54.55,1,54.55,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032217651,-,82.04,1,82.04,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
VEN0251360 ,AWG,9032217651,-,197.54,1,197.54,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,AWG,9032217653,-,267.87,1,267.87,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032217747,-,128.39,1,128.39,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032217747,-,128.39,1,128.39,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032217754,-,170.21,1,170.21,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032217762,-,60.19,1,60.19,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032217762,-,60.19,1,60.19,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032217768,-,168.41,1,168.41,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
VEN0251339 ,AWG,9032217832,-,139.98,1,139.98,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032217965,-,151.47,1,151.47,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032218807,-,205.81,1,205.81,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032218808,-,108.4,1,108.4,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032218808,-,108.4,1,108.4,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,AWG,9032218810,-,178.94,1,178.94,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
325422,C&S,9032218875,-,269.23,1,269.23,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032219912,-,124.24,1,124.24,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032219912,-,124.24,1,124.24,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032219914,-,129.26,1,129.26,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032219914,-,129.26,1,129.26,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
325424,C&S,9032219972,-,370.78,1,370.78,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
325423,C&S,9032219974,-,274.26,1,274.26,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
325421,C&S,9032220460,-,205.02,1,205.02,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032220505,-,60.33,1,60.33,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
VEN0251147,AWG,9032220505,-,362.78,1,362.78,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032220621,-,80.29,1,80.29,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032220621,-,80.29,1,80.29,24-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,AWG,9032220914,-,173.5,1,173.5,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
VEN0251342,AWG,9032221132,-,131.13,1,131.13,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
624089,Kroger,9032222008,-,240.47,1,240.47,7/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
624084,Kroger,9032222193,-,154.69,1,154.69,7/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
325425,C&S,9032222677,-,287.12,1,287.12,26-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Publix,9032222849,-,391.23,1,391.23,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9032223186,-,380.85,1,380.85,8/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
325426,C&S,9032224602,-,247.01,1,247.01,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032224777,-,73.4,1,73.4,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
VEN0251350 ,AWG,9032224777,-,110.65,1,110.65,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,AWG,9032224779,-,165.14,1,165.14,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,AWG,9032224779,-,161.51,1,161.51,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
