concat,invoice_number,sku,order_number,bol,shortage,damage,return,overage,net_shortage,customer_sign,carrier_sign,subject_to_count,pod_found
9110881402367281,9110881402,367281,PR3089957,6026468035,0,0,0,0,0,Yes,Yes,No,Yes
9110887470306546,9110887470,306546,55826280,6026464460,0,0,0,0,0,Yes,Yes,No,Yes
9110703938326895,9110703938,326895,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938324912,9110703938,324912,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938324910,9110703938,324910,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938328418,9110703938,328418,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938328440,9110703938,328440,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938328438,9110703938,328438,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938328468,9110703938,328468,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938328203,9110703938,328203,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938320109,9110703938,320109,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938329515,9110703938,329515,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938328411,9110703938,328411,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938328466,9110703938,328466,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938328431,9110703938,328431,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938320122,9110703938,320122,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938320119,9110703938,320119,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938323001,9110703938,323001,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938328278,9110703938,328278,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938328279,9110703938,328279,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
9110703938328280,9110703938,328280,8155954851,6026038597,0,0,0,0,0,Yes,Yes,No,Yes
