id,invoice_number,sku,deducted_amount,deducted_qty,deducted_price_per_qty,deduction_date,invoice_location,reason_code,sub_reason_code,deduction_reason
9111452444,9111452444,320550,2003.4,36,55.65,7/24/2023,,Shortage,,OSD
9110850537,9110850537,306414,2572.8,8,321.6,2/22/2023,,Shortage,,OSD
9110688171,9110688171,320550,2520,4,630,1/11/2023,,Shortage,,OSD
9111612709,9111612709,324911,1474.64,8,184.33,9/7/2023,,Shortage,,OSD
9111631290,9111631290,306546,212.64,1,212.64,9/11/2023,,Shortage,,OSD
9111631290,9111631290,306547,10632,50,212.64,9/11/2023,,Shortage,,OSD
9111681718,9111681718,515100,12150,9,1350,9/25/2023,,Shortage,,OSD
9111681718,9111681718,309646,65,4,16.25,9/25/2023,,Shortage,,OSD
9111681718,9111681718,10012241-0500,2700,6,450,9/25/2023,,Shortage,,OSD
9111681720,9111681720,0010012241-0500,1350,3,450,9/25/2023,,Shortage,,OSD
9111681720,9111681720,305614,362.4,2,181.2,9/25/2023,,Shortage,,OSD
9111681720,9111681720,309646,130,2,65,9/25/2023,,Shortage,,OSD
9111681720,9111681720,381523,374,1,374,9/25/2023,,Shortage,,OSD
9111681720,9111681720,305196,128,2,64,9/25/2023,,Shortage,,OSD
9111441226,9111441226,320109,1335.6,2,667.8,10/5/2023,,Shortage,,OSD
9111441226,9111441226,328438,368.66,2,184.33,10/5/2023,,Shortage,,OSD
9111441226,9111441226,320550,667.8,1,667.8,10/5/2023,,Shortage,,OSD
9111792254,9111792254,326895,265.2,13,20.4,10/25/2023,,Shortage,,OSD
9111792254,9111792254,320119,13356,20,667.8,10/25/2023,,Shortage,,OSD
9111792254,9111792254,328431,368.66,2,184.33,10/25/2023,,Shortage,,OSD
9111792254,9111792254,329515,6658.4,10,665.84,10/25/2023,,Shortage,,OSD
9111792252,9111792252,302832,918.4,40,22.96,10/25/2023,,Shortage,,OSD
9111792252,9111792252,306414,1286.4,64,20.1,10/25/2023,,Shortage,,OSD
9111792252,9111792252,305195,512,80,6.4,10/25/2023,,Shortage,,OSD
9111792252,9111792252,305219,306,10,30.6,10/25/2023,,Shortage,,OSD
