concat,invoice_number,sku,order_number,bol,shortage,damage,return,overage,net_shortage,customer_sign,carrier_sign,subject_to_count,pod_found
19739383313,9112119739,383313,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
65552367962,9111665552,367962,32806698,7115675719,0,0,0,0,0,No,Yes,No,Yes
64662326895,9111664662,326895,8138935415,6028040817,0,0,0,0,0,No,Yes,No,Yes
64662328418,9111664662,328418,8138935415,6028040817,0,0,0,0,0,No,Yes,No,Yes
64662328438,9111664662,328438,8138935415,6028040817,0,0,0,0,0,No,Yes,No,Yes
64662328203,9111664662,328203,8138935415,6028040817,0,0,0,0,0,No,Yes,No,Yes
64662320109,9111664662,320109,8138935415,6028040817,0,0,0,0,0,No,Yes,No,Yes
64662329515,9111664662,3.30E+05,8138935415,6028040817,0,0,0,0,0,No,Yes,No,Yes
64662328466,9111664662,3.28E+05,8138935415,6028040817,0,0,0,0,0,No,Yes,No,Yes
64662320122,9111664662,3.20E+05,8138935415,6028040817,0,0,0,0,0,No,Yes,No,Yes
64662320574,9111664662,3.21E+05,8138935415,6028040817,0,0,0,0,0,No,Yes,No,Yes
64662324906,9111664662,324906,8138935415,6028040817,0,0,0,0,0,No,Yes,No,Yes
64662320749,9111664662,320749,8138935415,6028040817,0,0,0,0,0,No,Yes,No,Yes
64662320550,9111664662,320550,8138935415,6028040817,0,0,0,0,0,No,Yes,No,Yes
05714320550,9111905714,320550,8115904997,6028445692,0,0,0,0,0,No,Yes,No,Yes
72241306546,9111772241,306546,8163638036,6028109289,0,0,0,0,0,Yes,Yes,No,Yes
30133256041,9112030133,256041,33262367,6028700606,0,0,0,0,0,Yes,No,No,Yes
73459305837,9111973459,305837,8110805226,6028555135,0,0,0,0,0,Yes,Yes,No,Yes
12709324911,9111612709,324911,42019241,6027934726,0,0,0,0,0,Yes,Yes,No,Yes
31290306546,9111631290,306546,281017816,6027942133,0,0,0,0,0,Yes,Yes,No,Yes
31290306547,9111631290,3.07E+05,281017816,6027942133,0,0,0,0,0,Yes,Yes,No,Yes
81718515100,9111681718,515100,2201004936,6028049440,0,0,0,0,0,No,Yes,No,Yes
81718309646,9111681718,3.10E+05,2201004936,6028049440,0,0,0,0,0,No,Yes,No,Yes
8171810012241-0500,9111681718,10012241-0500,2201004936,6028049440,0,0,0,0,0,No,Yes,No,Yes
817200010012241-0500,9111681720,0010012241-0500,2201004900,6028060272,0,0,0,0,0,No,Yes,No,Yes
81720305614,9111681720,3.06E+05,2201004900,6028060272,0,0,0,0,0,No,Yes,No,Yes
81720309646,9111681720,3.10E+05,2201004900,6028060272,0,0,0,0,0,No,Yes,No,Yes
81720381523,9111681720,3.82E+05,2201004900,6028060272,0,0,0,0,0,No,Yes,No,Yes
81720305196,9111681720,3.05E+05,2201004900,6028060272,0,0,0,0,0,No,Yes,No,Yes
41226320109,9111441226,3.20E+05,281011647,6027520536,0,0,0,0,0,No,Yes,No,Yes
41226328438,9111441226,3.28E+05,281011647,6027520536,0,0,0,0,0,No,Yes,No,Yes
41226320550,9111441226,3.21E+05,281011647,6027520536,0,0,0,0,0,No,Yes,No,Yes
92254326895,9111792254,3.27E+05,371024115,6028274717,0,0,0,0,0,No,Yes,No,Yes
92254320119,9111792254,3.20E+05,371024115,6028274717,0,0,0,0,0,No,Yes,No,Yes
92254328431,9111792254,3.28E+05,371024115,6028274717,0,0,0,0,0,No,Yes,No,Yes
92254329515,9111792254,3.30E+05,371024115,6028274717,0,0,0,0,0,No,Yes,No,Yes
92252302832,9111792252,3.03E+05,371024203,6028069160,0,0,0,0,0,No,Yes,No,Yes
92252306414,9111792252,3.06E+05,371024203,6028069160,0,0,0,0,0,No,Yes,No,Yes
92252305195,9111792252,3.05E+05,371024203,6028069160,0,0,0,0,0,No,Yes,No,Yes
51120256045,9110151120,2.56E+05,PR2944400,6025104610,0,0,0,0,0,Yes,Yes,No,Yes
18678405671,9111718678,405671,EAA7,6028159698,0,0,0,0,0,Yes,Yes,No,Yes
26445382544,9111126445,3.83E+05,APY9,6026861233,0,0,0,0,0,No,Yes,No,Yes
68580446252,9110168580,4.46E+05,PR2953804,6025031857,0,0,0,0,0,Yes,Yes,No,Yes
68580271056,9110168580,271056,PR2953804,6025031857,0,0,0,0,0,Yes,Yes,No,Yes
07045220252,9110107045,220252,PR2937788,6025006791,0,0,0,0,0,No,No,No,Yes
55498305765,9111655498,305765,63761,6027904884,0,0,0,0,0,No,No,No,Yes
55498366430,9111655498,366430,63761,6027904884,0,0,0,0,0,No,No,No,Yes
5549810802688,9111655498,10802688,63761,6027904884,0,0,0,0,0,No,No,No,Yes
55498MZ1000-07,9111655498,MZ1000-07,63761,6027904884,0,0,0,0,0,No,No,No,Yes
635474403A,9111563547,4403A,4531555246,6027582917,2,0,0,0,2,Yes,No,No,Yes
635474406,9111563547,4406,4531555246,6027582917,0,0,0,0,0,Yes,No,No,Yes
635474412A,9111563547,4412A,4531555246,6027582917,0,0,0,0,0,Yes,No,No,Yes
63547930299,9111563547,930299,4531555246,6027582917,0,0,0,0,0,Yes,No,No,Yes
63547930400,9111563547,930400,4531555246,6027582917,0,0,0,0,0,Yes,No,No,Yes
63547930725,9111563547,930725,4531555246,6027582917,0,0,0,0,0,Yes,No,No,Yes
63547930815,9111563547,930815,4531555246,6027582917,0,0,0,0,0,Yes,No,No,Yes
63547960110,9111563547,960110,4531555246,6027582917,0,0,0,0,0,Yes,No,No,Yes
63547383510,9111563547,383510,4531555246,6027582917,0,0,0,0,0,Yes,No,No,Yes
63547260103,9111563547,260103,4531555246,6027582917,0,0,0,0,0,Yes,No,No,Yes
00570324702,9111100570,324702,C5333597BOS,6026580839,0,0,0,0,0,Yes,Yes,Yes,Yes
00570324703,9111100570,324703,C5333597BOS,6026580839,0,0,0,0,0,Yes,Yes,Yes,Yes
00570320122,9111100570,320122,C5333597BOS,6026580839,0,0,0,0,0,Yes,Yes,Yes,Yes
00570320749,9111100570,320749,C5333597BOS,6026580839,0,0,0,0,0,Yes,Yes,Yes,Yes
00570320119,9111100570,320119,C5333597BOS,6026580839,0,0,0,0,0,Yes,Yes,Yes,Yes
00570320109,9111100570,320109,C5333597BOS,6026580839,0,0,0,0,0,Yes,Yes,Yes,Yes
925774406,9111592577,4406,4531569036,6027672389,0,0,0,0,0,Yes,Yes,No,Yes
92577930400,9111592577,930400,4531569036,6027672389,0,0,0,0,0,Yes,Yes,No,Yes
92577930480,9111592577,930480,4531569036,6027672389,0,0,0,0,0,Yes,Yes,No,Yes
92577930715,9111592577,930715,4531569036,6027672389,0,0,0,0,0,Yes,Yes,No,Yes
92577930725,9111592577,930725,4531569036,6027672389,0,0,0,0,0,Yes,Yes,No,Yes
92577930815,9111592577,930815,4531569036,6027672389,0,0,0,0,0,Yes,Yes,No,Yes
92577960120,9111592577,960120,4531569036,6027672389,0,0,0,0,0,Yes,Yes,No,Yes
95924326895,9111095924,326895,7379151894,6026919522,0,0,0,0,0,No,No,No,Yes
0662050-7510,9111806620,50-7510,5000632297,6028283955,0,0,0,0,0,Yes,Yes,No,Yes
51313320119,9110851313,320119,7221799106,6026416785,0,0,0,0,0,Yes,Yes,No,Yes
51313328418,9110851313,328418,7221799106,6026416785,0,0,0,0,0,Yes,Yes,No,Yes
94367326895,9111394367,326895,4479293169,6027490124,0,0,0,0,0,No,Yes,No,Yes
37671930815,9111437671,930815,4531493958,6025774886,0,0,0,0,0,Yes,Yes,No,Yes
30198442021,9111630198,442021,PR3326048,7115672555 ,0,0,0,0,0,Yes,Yes,Yes,Yes
607625626200,9112060762,5626200,60724,6028757673,0,0,0,0,0,Yes,No,No,Yes
78863220531,9112078863,220531,54813,6028740324,0,0,0,0,0,Yes,Yes,No,Yes
12127305328,9110112127,305328,4515234636,6024943849,0,0,0,0,0,Yes,No,No,Yes
51276IVNS001,9111551276,IVNS001,110372089,6027665896,0,0,0,0,0,No,No,No,Yes
33480305918,9111933480,305918,479110,7115831187,0,0,0,0,0,Yes,Yes,No,Yes
04909220099,9111704909,220099,PR3304661,7115716715,0,0,0,0,0,Yes,Yes,Yes,Yes
04909220105,9111704909,220105,PR3304661,7115716715,0,0,0,0,0,Yes,Yes,Yes,Yes
