Receive Date,Return Date,Invoice Day,Transaction Type,Quantity,Net Receipts,Net Receipts Currency,List Price,List Price Currency,Rebate In Agreement Currency,Agreement Currency,Rebate In Purchase Order Currency,Purchase Order Currency,Purchase Order,Asin,UPC,EAN,Manufacturer,Distributor,Product Group,Category,Subcategory,Title,Product Description,Binding,Cost Currency,Old Cost,New Cost,Price Protection Agreement,Price Protection Day,Cost Variance,Invoice,Multi-Country Parent Agreement ID,Invoice ID,,,
16-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,1A328IOM,B0BTTTLVXX,,,CHR4B,C***B,325,32502500,32502506,"RXBAR A.M. Protein Bars, Gluten Free Snacks, Breakfast Snacks, Peanut Butter Dark Chocolate (6 Boxes, 30 Bars)",,unknown_binding,,,,,,,,,6429-801766995,,,
10-09-2023,,,Distributor Shipment,2,31.94,USD,35.98,USD,6.39,USD,6.39,USD,8IS9L87X,B07TR6YVJL,,,KEUB1,P***E,325,32504000,32504002,"Keebler Sandwich Crackers, Single Serve Snack Crackers, Lunch Snacks, Variety Pack (45 Packs)",,unknown_binding,,,,,,,,,6429-801766995,,,
17-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,8IS9L87X,B07TR6YVJL,,,KEUB1,P***E,325,32504000,32504002,"Keebler Sandwich Crackers, Single Serve Snack Crackers, Lunch Snacks, Variety Pack (45 Packs)",,unknown_binding,,,,,,,,,6429-801766995,,,
29-09-2023,,,Distributor Shipment,37,555,USD,798.83,USD,111,USD,111,USD,75KMZQLK,B0BPPTL4JF,,,PUCC9,P***9,325,32504000,32504002,"Carr's Table Water Crackers, Baked Snack Crackers, Party Snacks, 2 Flavor Variety Pack (4 Boxes)",,unknown_binding,,,,,,,,,6429-801766995,,,
01-09-2023,,,Distributor Shipment,"6,114","98,190.84",USD,"1,10,602.26",USD,"19,638.17",USD,"19,638.17",USD,275SHGQP,B084RDDFGR,38000240522,38000240522,KEUB1,P***E,325,32502500,32502506,"Rice Krispies Treats Crispy Marshmallow Squares, Kids Snacks, Snack Bars, Original (54 Bars)",,grocery,,,,,,,,,6429-801766995,,,
18-09-2023,,,Distributor Shipment,10,194.4,USD,279.2,USD,38.88,USD,38.88,USD,7CNZ8AUI,B07ZKWRXWK,38000167775,38000167775,B37JK,7***G,325,32502500,32502506,"Special K Pastry Crisps, Breakfast Bars, 100 Calorie Snacks, Strawberry (8 Boxes, 96 Crisps)",,grocery,,,,,,,,,6429-801766995,,,
30-09-2023,,,Distributor Shipment,920,"17,884.80",USD,"25,686.40",USD,"3,576.96",USD,"3,576.96",USD,618M99XE,B07ZKWRXWK,38000167775,38000167775,PUCC9,P***9,325,32502500,32502506,"Special K Pastry Crisps, Breakfast Bars, 100 Calorie Snacks, Strawberry (8 Boxes, 96 Crisps)",,grocery,,,,,,,,,6429-801766995,,,
18-09-2023,,,Distributor Shipment,88,"1,118.48",USD,"1,118.48",USD,223.7,USD,223.7,USD,4IPPJUZR,B09LRFWV7N,38000273735,38000273728,KEPXO,K***5,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, Office and Kids Snacks, Grab N' Go, Variety Pack (16 Cans)",,grocery,,,,,,,,,6429-801766995,,,
30-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,5K46MGRT,B0BYHB689F,,,CHR4B,C***B,325,32502500,32502506,"RXBAR Minis Protein Bars, Protein Snack, Snack Bars, Variety Pack (16 Bars)",,unknown_binding,,,,,,,,,6429-801766995,,,
25-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,5Z4QXZKH,B07TR6YVJL,,,KEUB1,P***E,325,32504000,32504002,"Keebler Sandwich Crackers, Single Serve Snack Crackers, Lunch Snacks, Variety Pack (45 Packs)",,unknown_binding,,,,,,,,,6429-801766995,,,
